Dates,Total Rating
2016_07_27 01_10,1682934
2016_07_27 01_20,1682934
2016_07_27 01_30,1682934
2016_07_27 01_40,1682934
2016_07_27 01_50,1682934
2016_07_27 02_00,1682934
2016_07_27 02_10,1682934
2016_07_27 02_20,1682934
2016_07_27 02_30,1682934
2016_07_27 02_40,1682934
2016_07_27 02_50,1682934
2016_07_27 03_00,1682934
2016_07_27 03_10,1682934
2016_07_27 03_20,1682934
2016_07_27 03_30,1682934
2016_07_27 03_40,1682934
2016_07_27 03_50,1682934
2016_07_27 04_00,1682934
2016_07_27 04_10,1682934
2016_07_27 04_20,1682934
2016_07_27 04_30,1682934
2016_07_27 04_40,1682934
2016_07_27 04_50,1682934
2016_07_27 05_00,1689676
2016_07_27 05_10,1689676
2016_07_27 05_20,1689676
2016_07_27 05_30,1689676
2016_07_27 05_40,1689676
2016_07_27 05_50,1689676
2016_07_27 06_00,1689676
2016_07_27 06_10,1689676
2016_07_27 06_20,1689676
2016_07_27 06_30,1689676
2016_07_27 06_40,1689676
2016_07_27 06_50,1689676
2016_07_27 07_00,1689676
2016_07_27 07_10,1689676
2016_07_27 07_20,1689676
2016_07_27 07_30,1689676
2016_07_27 07_40,1689676
2016_07_27 07_50,1689676
2016_07_27 08_00,1689676
2016_07_27 08_10,1689676
2016_07_27 08_20,1689676
2016_07_27 08_30,1689676
2016_07_27 08_40,1689676
2016_07_27 08_50,1689676
2016_07_27 09_00,1689676
2016_07_27 09_10,1699173
2016_07_27 09_20,1699173
2016_07_27 09_30,1699173
2016_07_27 09_40,1699173
2016_07_27 09_50,1699173
2016_07_27 10_00,1699173
2016_07_27 10_10,1699173
2016_07_27 10_20,1699173
